,Industry,Company,QMan,QMRank,FS,FSRank,QGS,QGSRank,AAT,AATRank,VLTI,VTLIRank,CI,CIRank,QMar,QMarRank,CER,CERRank,UCA,UCARank,TOTAL,Rank,Year
132,Property,Big Yellow Company.,6.4,3,5.5,7,7.2,1,5.7,4,5.7,3,7,1,6.6,1,5.1,9,6.5,2,55.8,2,2009
58,Engineering,Bodycote Int.,5.6,9,6,8,5.5,10,5.1,7,4.8,10,5.1,8,5.4,7,4.5,9,5.1,9,47,8,2009
29,Heavy construction,Boot (Henry),5.3,8,6.3,4,5.1,9,5.1,7,5.9,7,5.2,8,5.1,8,5.1,8,5.5,6,48.6,7,2009
41,Home construction,Bovis Homes,5.6,4,5.8,4,6,2,5.5,3,5.6,4,5.3,4,5.1,4,5.4,3,5.5,2,49.8,4,2009
119,Extractive,BP,6.5,7,7.7,2,8,1,7.5,2,8,1,7.7,1,7.2,2,6.3,2,8.3,1,67.1,1,2009
220,Transport,British Airways,6.3,5,3.5,8,6.9,2,6.5,1,3.6,9,6.2,4,7.4,2,6,6,6,6,52.3,6,2009
133,Property,British Land Company,6.3,4,7.8,1,7.1,2,6.5,1,6.8,1,5.8,4,5.8,2,6.4,1,6.8,1,59.3,1,2009
124,Paper,British Polythene,7.8,1,7,2,7.5,1,6.8,2,6,2,6.3,4,6.5,2,6.5,2,6.3,3,60.5,2,2009
142,Restaurants,Britvic,6.3,5,6.4,6,7,3,6.2,3,6.1,4,7.3,1,6.9,2,6.1,3,5.9,5,58.2,3,2009
152,Food and personal retailers,Brown (N),6,8,5.8,8,6,9,5.5,8,5.5,8,6,6,5.5,8,4,9,4.5,9,48.8,9,2009
107,Media,BSkyB,7.9,1,7.9,1,8.9,1,8,1,7.7,1,8.6,1,8.6,1,7.3,1,7.6,1,72.3,1,2009
11,Building materials,BSS,6.1,5,5.9,5,6.9,4,5,8,6,4,5.6,4,4.5,10,5.1,8,5.9,3,51.1,7,2009
211,Telecoms,BT Group,6.4,3,5.3,4,5.9,3,6.2,2,6.4,3,5.4,4,5.8,2,6.7,1,5,4,53.1,3,2009
202,Support services,Bunzl,5.5,7,5.6,9,5.8,8,5.3,10,5.6,10,5,9,5.8,6,5.4,8,6.2,6,50.2,9,2009
153,Food and personal retailers,Burberry Group,5.9,9,6,6,7.8,1,6.6,5,5.9,6,6.8,4,7.3,4,4.2,8,5,7,55.6,6,2009
212,Telecoms,Cable & Wireless,6.1,4,5.8,3,5.8,5,5.4,4,5.4,4,5.7,2,4.9,3,4.4,4,5.6,2,49,4,2009
69,Food,Cadbury,7.8,1,7.9,3,8,1,7.7,1,8,1,7.9,1,8.4,1,7.7,1,7,1,70.4,1,2009
203,Support services,Capita Group,8.1,1,7.9,1,7.1,2,7.3,1,7.6,2,6.8,1,6,4,5.8,2,7.4,1,63.9,1,2009
204,Support services,Carillion,5.5,10,5.8,8,5.9,7,5.9,6,6.1,7,5.4,8,6.2,3,5.8,2,6.2,6,52.7,6,2009
86,Leisure,Carnival,6,4,6.6,3,6.6,3,6.1,3,6.6,3,6,2,5.4,4,4.5,9,6,3,53.9,3,2009
163,General retailers,Carpetright,7,2,4.4,6,5.4,9,4.2,8,5.2,4,5,5,4.8,6,3.8,10,4.4,5,44.2,5,2009
172,Specialist retailers,Carphone Warehouse,6.4,4,6.3,5,6.3,3,6.3,2,5.4,5,7.5,1,6.8,1,5.6,5,5.7,6,56.5,4,2009
227,Utilities,Centrica,7,1,8,1,7,1,7.8,1,7,3,7,1,7.5,1,6.5,2,6.7,2,64.4,1,2009
59,Engineering,Charter International,5.5,10,6.7,6,5.6,9,4.7,9,5.3,7,4.9,10,5,10,4,10,5.2,8,46.8,9,2009
49,Aero and defence,Chemring Group,6.3,7,6.4,6,7.3,4,6.1,7,7.1,5,6.6,6,5.9,10,5.3,10,6.6,5,57.8,5,2009
87,Leisure,Cineworld Group,5.7,6,5.3,9,5.8,5,4.8,7,4.8,8,5.8,5,4.7,8,5,4,5,6,47,6,2009
30,Heavy construction,Clarke (T),5.1,9,5.1,8,5.2,8,4.9,8,4.6,9,4.7,9,4.6,9,5,9,5.2,8,44.1,9,2009
192,Specialty finance,Close Brothers,4.4,10,5.6,5,5,9,5.2,8,4.6,10,4,10,4.3,10,4,8,4,10,41.1,10,2009
50,Aero and defence,Cobham,7.4,4,7.9,2,8,2,7.8,2,7.4,4,7.6,2,6.6,3,6,4,7.1,1,65.8,2,2009
213,Telecoms,COLT Telecom,4.3,7,5.3,5,5.9,4,3.5,5,3.1,7,4.4,5,4,5,4.3,5,4.8,5,39.5,5,2009
143,Restaurants,Compass,5.7,9,6.5,5,5.5,8,5.4,8,5.7,7,5.1,6,4.4,9,5.1,7,5.6,7,49,7,2009
60,Engineering,Cookson,5.6,8,4.2,10,5.7,8,4.3,10,5.2,8,5.1,9,5.3,9,4.9,8,5.4,7,45.7,10,2009
5,Banking,Co-operative Bank,5.1,6,5.8,4,5.3,6,4.3,8,4.4,7,4.9,8,5.7,3,7.4,1,5.1,4,47.9,5,2009
31,Heavy construction,Costain Group,6,6,6,5,6.5,5,6,6,6.3,3,6.1,4,6.3,2,5.8,4,6.5,2,55.4,4,2009
70,Food,Cranswick,6.8,4,6,6,5.2,7,5,5,4.8,6,6,3,5.4,4,5.2,8,5.7,6,50,5,2009
12,Building materials,CRH,7,1,7,2,6.3,8,6.7,1,7.1,1,5.3,9,4.5,9,5.4,3,6.3,1,55.7,3,2009
21,Chemicals,Croda International,6.2,3,6.2,3,6.3,3,5.5,3,5.5,3,4.8,3,6.3,3,6.2,2,5.7,3,52.7,3,2009
108,Media,Daily Mail & General Trust,5.9,7,4.8,8,5.7,8,5.3,7,4.9,9,4.5,9,5.3,6,5,8,5.1,9,46.5,9,2009
71,Food,Dairy Crest,5.2,8,5.2,7,5.2,7,4.5,9,4.3,8,4.3,10,5.5,3,5.8,4,5,10,45,8,2009
154,Food and personal retailers,Debenhams,6.5,6,4.8,9,6.5,7,6,7,5.4,9,6.1,5,6.8,6,5.3,6,5.9,6,53.5,7,2009
80,Health,Dechra Pharmaceuticals,5.8,8,6.3,7,6.3,6,5.3,8,5.3,8,4.8,10,6.5,6,4.8,7,6.8,2,51.5,8,2009
134,Property,Derwent London,6.2,5,6.8,2,5.7,7,6.1,2,6.4,2,5.8,3,5.3,5,5.4,5,5.9,4,53.6,3,2009
144,Restaurants,Diageo,7,3,7.8,1,7.8,1,7.8,1,7.4,1,7.3,1,7.9,1,6.4,2,6.5,3,65.8,1,2009
182,Software,Dimension Data,5.8,8,6,7,5.8,8,5.5,9,5.3,7,5.8,7,5,10,5.3,7,6,5,50.6,9,2009
228,Utilities,Drax,5.9,4,5.3,10,6.7,3,5.3,9,5.1,10,5.3,8,4.4,9,4.3,10,6.3,4,48.7,9,2009
164,General retailers,DSG International,5.8,5,3.5,10,5.8,5,5.8,4,3.7,8,5.8,3,5.3,5,4.3,6,3.8,10,44,6,2009
165,General retailers,Dunelm,7.6,1,7.6,1,7.2,1,6.6,1,7.4,1,7,1,6.6,1,4.6,4,6.2,1,60.8,1,2009
221,Transport,eastJet,7,3,6.5,4,7,1,6.5,1,6,4,7,1,7.5,1,6,6,6.5,3,60.1,1,2009
